State/UT,Straight Road - Number of Accidents - number,Straight Road - Number of Accidents - Rank,Straight Road - Persons Killed - Number,Straight Road - Persons Killed - Rank,Straight Road - Persons Injured - Greviously Injured,Straight Road - Persons Injured - Minor Injury,Straight Road - Persons Injured - Total Injured,Curved Road - Number of Accidents,Curved Road - Persons Killed,Curved Road - Persons Injured - Greviously Injured,Curved Road - Persons Injured - Minor Injury,Curved Road - Persons Injured - Total Injured,Bridge - Number of Accidents,Bridge - Persons Killed,Bridge - Persons Injured - Greviously Injured,Bridge - Persons Injured - Minor Injury,Bridge - Persons Injured - Total Injured,Culvert - Number of Accidents,Culvert - Persons Killed,Culvert - Persons Injured - Greviously Injured,Culvert - Persons Injured - Minor Injury,Culvert - Persons Injured - Total Injured,Pot Holes - Number of Accidents,Pot Holes - Persons Killed,Pot Holes - Persons Injured - Greviously Injured,Pot Holes - Persons Injured - Minor Injury,Pot Holes - Persons Injured - Total Injured,Steep Grade - Number of Accidents,Steep Grade - Persons Killed,Steep Grade - Persons Injured - Greviously Injured,Steep Grade - Persons Injured - Minor Injury,Steep Grade - Persons Injured - Total Injured,Ongoing Road Works/Under Construction - Number of Accidents,Ongoing Road Works/Under Construction - Persons Killed,Ongoing Road Works/Under Construction - Persons Injured - Greviously Injured,Ongoing Road Works/Under Construction - Persons Injured - Minor Injury,Ongoing Road Works/Under Construction - Persons Injured - Total Injured,Others - Number of Accidents,Others - Persons Killed,Others - Persons Injured - Greviously Injured,Others - Persons Injured - Minor Injury,Others - Persons Injured - Total Injured
Ludhiana,83,48.0,42,47.0,39,2,41,34,13,19,2,21,12,7,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,28,19,3,22,374,174,191,9,200
Madurai,513,33.0,148,28.0,5,439,444,37,5,0,32,32,91,12,0,89,89,32,3,0,36,36,112,13,0,119,119,0,0,0,0,0,81,12,0,79,79,0,0,0,0,0
Mallapuram,1597,10.0,222,19.0,1287,449,1736,449,70,369,179,548,20,0,18,3,21,14,2,9,5,14,1,0,1,0,1,4,0,3,1,4,5,0,4,0,4,472,70,364,134,498
Meerut,245,42.0,108,37.0,34,129,163,166,74,22,88,110,90,42,22,41,63,75,30,14,40,54,24,7,11,9,20,23,5,9,12,21,20,3,7,12,19,313,144,37,157,194
Mumbai,2200,6.0,307,9.0,1640,568,2208,438,68,319,136,455,228,66,188,74,262,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
Nagpur,640,28.0,179,23.0,377,263,640,197,45,141,86,227,17,8,5,7,12,43,12,20,17,37,63,1,47,28,75,0,0,0,0,0,47,5,22,29,51,0,0,0,0,0
Nashik,490,34.0,144,30.0,339,139,478,41,13,31,15,46,13,9,13,1,14,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,5,0,0,0,5,5,2,0,2
Patna,264,41.0,100,40.0,134,13,147,205,75,121,8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,12,0,12,0,0,0,0,0,41,12,26,0,26
Pune,572,30.0,165,26.0,294,134,428,81,21,52,12,64,37,2,32,6,38,0,0,0,0,0,0,0,0,0,0,91,16,78,9,87,10,2,7,2,9,0,0,0,0,0
Raipur,1689,8.0,349,7.0,58,1266,1324,349,75,8,184,192,52,17,4,25,29,16,6,1,9,10,0,0,0,0,0,28,7,1,15,16,12,4,3,7,10,0,0,0,0,0
